uri,download link,filename
https://bdebooks.com/books/dragon-samagra-by-sri-swapan-kumar,dl.bdebooks.com/index.php/s/7Y72NKyxak2MNz3/download,Dragon Samagra 1 by Sri Swapan Kumar - (BdeBooks.Com).pdf
https://bdebooks.com/books/nobabgonjer-agontuk-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/ZQcL8BxcCn5HyEz/download,Nobabgonjer Agontuk  by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/oscar-wilder-sera-rupkatha-by-amirul-islam,dl.bdebooks.com/index.php/s/fcb2BpBm292rHXy/download,Oscar Wilder Sera Rupkath By  Amirul Islam (bdebooks.com).pdf
https://bdebooks.com/books/jhikorgachar-jhonjhat-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/aDepNJxYktfC5YF/download,Jhikorgachar Jhonjhat by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/bhoy-peyona-nil-manush-by-sunil-gangopadhyay,dl.bdebooks.com/index.php/s/Yj4HKN3nEHSpo2A/download,Bhoy Peyona Nil Manush by Sunil Gangopadhayay - (BdeBooks.Com).pdf
https://bdebooks.com/books/raghab-babur-bari-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/zNBpbYdqW6rgTyY/download,RaghobBabur_Bari by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/bipin-babur-bipod-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/B8cpMLyHE6ZkBJA/download,Bipinbabur Bipod by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/mahabharater-astadashi-by-nrisingha-prasad-bhaduri,dl.bdebooks.com/index.php/s/C5GcRnBQQe9oPZX/download,Mahabharater Astadashi By Nrisingha Prasad Bhaduri.pdf
https://bdebooks.com/books/advuture-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/tRCoLPNQBzHwmB5/download,Advuture by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/dudh-sayorer-dip-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/nt7gZyybBe9Ls9S/download,Dudh Sayorer Dip by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
